claim_id,annotator_a,annotator_b,annotator_c,ground_truth_verdict
altnews_001,True,False,Misleading,False
altnews_002,True,False,True,Unverifiable
altnews_003,Misleading,False,Misleading,False
altnews_004,Misleading,False,Misleading,False
altnews_005,False,False,False,False
altnews_006,True,False,Unverifiable,False
altnews_007,Misleading,False,Misleading,False
altnews_008,Misleading,False,Misleading,False
altnews_009,True,False,Misleading,False
altnews_010,Misleading,False,Unverifiable,False
boomlive_001,Unverifiable,False,Misleading,Misleading
boomlive_002,Misleading,False,Misleading,False
boomlive_003,Misleading,False,Misleading,Misleading
boomlive_004,Misleading,False,Misleading,Misleading
boomlive_005,Unverifiable,False,Unverifiable,False
boomlive_006,False,False,Misleading,Unverifiable
boomlive_007,Unverifiable,False,Unverifiable,Misleading
boomlive_008,Unverifiable,False,Misleading,False
boomlive_009,Unverifiable,False,Misleading,False
boomlive_010,Misleading,False,Misleading,False
boomlive_011,Misleading,False,Misleading,False
boomlive_012,Unverifiable,False,Unverifiable,False
boomlive_013,Misleading,Unverifiable,Misleading,Misleading
boomlive_014,Misleading,False,Misleading,True
boomlive_015,Misleading,True,True,True
boomlive_016,Misleading,False,Misleading,False
boomlive_017,Misleading,True,Misleading,True
boomlive_018,Misleading,False,Unverifiable,False
boomlive_019,Misleading,False,Misleading,Misleading
boomlive_020,Unverifiable,False,Unverifiable,False
boomlive_021,Misleading,False,Misleading,False
boomlive_022,False,False,Misleading,False
boomlive_023,Unverifiable,False,Unverifiable,Unverifiable
manual_001,False,Unverifiable,False,False
manual_002,False,False,False,False
manual_003,False,Unverifiable,False,False
manual_004,Misleading,False,Misleading,False
manual_005,False,False,Unverifiable,False
manual_006,False,False,False,False
manual_007,False,False,Unverifiable,False
manual_008,True,True,Unverifiable,True
manual_009,True,False,Unverifiable,True
manual_010,True,False,Unverifiable,True
manual_011,True,False,True,True
manual_012,True,False,Unverifiable,True
manual_013,False,False,Misleading,False
manual_014,False,Unverifiable,Misleading,False
manual_015,False,Unverifiable,False,False
manual_016,False,False,Misleading,False
manual_017,False,False,Unverifiable,False
manual_018,True,True,True,True
manual_019,True,False,Unverifiable,True
manual_020,Misleading,False,Misleading,Misleading
manual_021,False,False,Unverifiable,False
manual_022,False,False,Misleading,False
manual_023,False,False,Unverifiable,False
manual_024,Unverifiable,False,Unverifiable,True
manual_025,False,False,False,Misleading
manual_026,False,False,False,False
manual_027,False,False,False,False
